epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.71466,1.72918,3.56036,1.37159,0.00288,0.79545,0.0227,0.0094,1.49759,3.54831,1.0817,0.0002,0.0002,0.0002
2,6.64765,1.43127,2.27079,1.11508,0.00304,0.88636,0.27524,0.11508,1.51221,3.3783,1.11461,0.000415842,0.000415842,0.000415842
3,9.61279,1.46949,1.47869,1.13032,0.00345,0.93182,0.08003,0.0207,1.47634,3.41081,1.12098,0.000627328,0.000627328,0.000627328
4,12.5399,1.48608,1.41667,1.18049,0.00339,0.95455,0.19472,0.09464,1.70707,3.37298,1.38699,0.000834458,0.000834458,0.000834458
5,15.4173,1.48396,1.33594,1.18741,0.00321,0.95455,0.06432,0.03294,1.55642,3.22054,1.39177,0.00103723,0.00103723,0.00103723
6,18.1974,1.50511,1.27909,1.22579,0.00322,0.93182,0.11906,0.06287,1.55325,3.15833,1.4378,0.00123565,0.00123565,0.00123565
7,20.9826,1.45448,1.23488,1.19685,0.61821,0.14775,0.34623,0.16973,1.77026,2.80333,1.66383,0.00142971,0.00142971,0.00142971
8,23.771,1.42619,1.21458,1.17895,0.73402,0.37656,0.54189,0.25534,1.70189,2.49471,1.561,0.00161942,0.00161942,0.00161942
9,26.5724,1.51135,1.218,1.22868,0.45824,0.36364,0.49301,0.24516,1.72902,2.34121,1.47726,0.00180477,0.00180477,0.00180477
10,29.371,1.4156,1.1469,1.17792,0.56775,0.70455,0.58883,0.25312,1.76247,2.09676,1.53644,0.0018218,0.0018218,0.0018218
11,32.2542,1.41688,1.05997,1.1737,0.63262,0.66539,0.70389,0.37768,1.70488,1.66629,1.48831,0.001802,0.001802,0.001802
12,35.1607,1.46712,1.12547,1.22506,0.64284,0.57278,0.56651,0.27749,1.8408,1.97548,1.45335,0.0017822,0.0017822,0.0017822
13,38.0203,1.41838,1.07048,1.17865,0.51759,0.51221,0.47958,0.19482,1.85997,2.25263,1.51451,0.0017624,0.0017624,0.0017624
14,40.9188,1.41159,1.05491,1.18039,0.43667,0.40909,0.3311,0.15006,1.96274,3.79511,1.48605,0.0017426,0.0017426,0.0017426
15,43.7212,1.38973,0.99749,1.19738,0.69754,0.70455,0.69589,0.27125,2.04287,1.75122,1.56898,0.0017228,0.0017228,0.0017228
